Translation failed for entity-view.unassign-entity-view-from-edge-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to unassign the entity view '{{entityViewName}}'?
Translation failed for entity-view.unassign-entity-view-from-edge-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: After the confirmation the entity view will be unassigned and won't be accessible by the edge.
Translation failed for entity-view.unassign-entity-views-from-edge-action-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unassign { count, plural, =1 {1 entity view} other {# entity views} } from edge
Translation failed for entity-view.unassign-entity-view-from-edge: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unassign entity view
Translation failed for entity-view.unassign-entity-views-from-edge-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to unassign { count, plural, =1 {1 entity view} other {# entity views} }?
Translation failed for entity-view.unassign-entity-views-from-edge-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: After the confirmation all selected entity views will be unassigned and won't be accessible by the edge.
Translation failed for event.event-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Event type
Translation failed for event.events-filter: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Events Filter
Translation failed for event.clean-events: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Clear Events
Translation failed for event.type-error: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Error
Translation failed for event.type-lc-event: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Lifecycle event
Translation failed for event.type-stats: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Statistics
Translation failed for event.type-debug-rule-node: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Debug
Translation failed for event.type-debug-rule-chain: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Debug
Translation failed for event.no-events-prompt: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: No events found
Translation failed for event.error: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Error
Translation failed for event.alarm: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Alarm
Translation failed for event.event-time: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Event time
Translation failed for event.server: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Server
Translation failed for event.body: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Body
Translation failed for event.method: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Method
Translation failed for event.type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Type
Translation failed for event.message: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Message
Translation failed for event.message-id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Message Id
Translation failed for event.copy-message-id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Copy message Id
Translation failed for event.message-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Message Type
Translation failed for event.data-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Data Type
Translation failed for event.relation-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Relation Type
Translation failed for event.metadata: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Metadata
Translation failed for event.data: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Data
Translation failed for event.event: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Event
Translation failed for event.status: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Status
Translation failed for event.success: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Success
Translation failed for event.failed: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Failed
Translation failed for event.messages-processed: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Messages processed
Translation failed for event.max-messages-processed: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Maximum messages processed
Translation failed for event.min-messages-processed: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Minimum messages processed
Translation failed for event.errors-occurred: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Errors occurred
Translation failed for event.max-errors-occurred: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Maximum errors occurred
Translation failed for event.min-errors-occurred: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Minimum errors occurred
Translation failed for event.min-value: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Minimum value is 0.
Translation failed for event.all-events: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: All
Translation failed for event.has-error: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Has error
Translation failed for event.entity-id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity Id
Translation failed for event.copy-entity-id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Copy entity Id
Translation failed for event.entity-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Entity type
Translation failed for event.clear-filter: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Clear Filter
Translation failed for event.clear-request-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Clear all events
Translation failed for event.clear-request-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to clear all events?
Translation failed for event.started: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Started
Translation failed for event.updated: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Updated
Translation failed for event.stopped: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Stopped
Translation failed for extension.extensions: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Extensions
Translation failed for extension.selected-extensions: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: { count, plural, =1 {1 extension} other {# extensions} } selected
Translation failed for extension.type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Type
Translation failed for extension.key: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Key
Translation failed for extension.value: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Value
Translation failed for extension.id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Id
Translation failed for extension.extension-id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Extension id
Translation failed for extension.extension-type: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Extension type
Translation failed for extension.transformer-json: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: JSON *
Translation failed for extension.unique-id-required: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Current extension id already exists.
Translation failed for extension.delete: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Delete extension
Translation failed for extension.add: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add extension
Translation failed for extension.edit: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Edit extension
Translation failed for extension.delete-extension-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to delete the extension '{{extensionId}}'?
Translation failed for extension.delete-extension-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Be careful, after the confirmation the extension and all related data will become unrecoverable.
Translation failed for extension.delete-extensions-title: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Are you sure you want to delete { count, plural, =1 {1 extension} other {# extensions} }?
Translation failed for extension.delete-extensions-text: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Be careful, after the confirmation all selected extensions will be removed.
Translation failed for extension.converters: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Converters
Translation failed for extension.converter-id: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Converter id
Translation failed for extension.configuration: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Configuration
Translation failed for extension.converter-configurations: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Converter configurations
Translation failed for extension.token: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Security token
Translation failed for extension.add-converter: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add converter
Translation failed for extension.add-config: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add converter configuration
Translation failed for extension.device-name-expression: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Device name expression
Translation failed for extension.device-type-expression: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Device type expression
Translation failed for extension.custom: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Custom
Translation failed for extension.to-double: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: To Double
Translation failed for extension.transformer: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Transformer
Translation failed for extension.json-required: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Transformer json is required.
Translation failed for extension.json-parse: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Unable to parse transformer json.
Translation failed for extension.attributes: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Attributes
Translation failed for extension.add-attribute: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add attribute
Translation failed for extension.add-map: name 'ICU_PLACEHOLDER_PATTERN' is not defined | Value: Add mapping element
